site,ok,status,title,brand_or_shop,price,currency,original_price,discount_percent,rating,review_count,is_bestseller,favorites,materials,dimensions,ships_from,availability,url,image_url
etsy,True,200,"Pendant Ceramic Lamp, Hanging Lampshade, Handmade Design, Unique Light Fixture Gift | US Shipping Includes All Taxes",NoaRazerStudio,330,USD,,,5,7,,4573,Ceramic,"5.5 inches diameter, 5.9 inches height",Israel,In stock,https://www.etsy.com/listing/654638870/pendant-ceramic-lamp-hanging-lampshade,https://i.etsystatic.com/15201243/r/il/9a3e9a/1787797692/il_794xN.1787797692_t50b.jpg
etsy,True,200,Ceiling Lamp Pendant TerraCotta Lamp Hanging Light Fixture,NoaRazerStudio,330,USD,,,5,1,,292,Ceramic,"Width: 5.5 inches, Height: 5.9 inches",Israel,In stock,https://www.etsy.com/listing/776223242/ceiling-lamp-pendant-terracotta-lamp,https://i.etsystatic.com/15201243/r/il/8d7028/2254083876/il_794xN.2254083876_dy1g.jpg
etsy,True,200,"Pendant Ceramic Lamp, Hanging Lampshade, Handmade Design, Contemporary Artwork Creation, Unique Light Fixture Gift",NoaRazerStudio,330,USD,,,5,145,,147,Ceramic,"Width: 4.3 inches, Height: 5.9 inches",Israel,"Low in stock, only 3 left",https://www.etsy.com/listing/1423618692/pendant-ceramic-lamp-hanging-lampshade,https://i.etsystatic.com/15201243/r/il/a0ca99/4746216236/il_794xN.4746216236_8tiu.jpg
etsy,True,200,"Vintage Armchair from Mid Century, Mustard, Restored",WorkshopOfForms,609.91,USD,,,5,4,,660,"wood, fabric, Beech, oil","Width - 22.8 in, Height - 31.4 in, Depth - 24.8 in, Seat Width - 18.1 in, Seat Height - 14.2 in",Poland,In stock,https://www.etsy.com/listing/712573399/vintage-armchair-from-mid-century,https://i.etsystatic.com/15437068/r/il/03951c/1904015606/il_794xN.1904015606_jew1.jpg
etsy,True,200,Completely restored Black and White cocktail chair from 1970's,updatechair,794.48,USD,,,5,53,,187,,H 66 cm (seat 40 cm) W 52 cm x D 47 cm,Hungary,"Low in stock, only 5 left",https://www.etsy.com/listing/649720699/completely-restored-black-and-white,https://i.etsystatic.com/8047762/r/il/9e5cf3/1692581557/il_794xN.1692581557_6c7l.jpg
etsy,True,200,Handmade Mid-Century Sherpa Armchair and Ottoman Set,RetroDesignCRO,1222.88,USD,,,4.5,14,,1461,"Beech, fabric, foam, wax, wood",63 cm width x 70 cm depth x 74 cm height,Croatia,In stock,https://www.etsy.com/listing/1110352719/boucle-armchair-and-ottoman-set-mid,https://i.etsystatic.com/24404143/r/il/40786a/7831423644/il_794xN.7831423644_iucx.jpg
etsy,True,200,"Teal Floral Floor Pillow: Round or Square Meditation Cushion, Floor Seating",hangtightstudio88,110,USD,,,5,0,,94,"Polyester, Polyester filling","23"" Round: 23"" x 7"" Tall, 26"" Round: 26"" x 7"" Tall, 23"" Square: 23"" x 23"" x 7"" Tall, 26"" Square: 26"" x 26"" x 7"" Tall","Englewood, CO",In stock,https://www.etsy.com/listing/904960951/teal-floral-floor-pillow-round-or-square,https://i.etsystatic.com/5570847/r/il/2d1f30/7361901380/il_794xN.7361901380_ammn.jpg
etsy,True,200,Kids Knitted Pouf Ottoman: Grey Cotton Nursery Footstool,ZuriHouse,158.59,USD,198.23,20,5,9,True,2091,"cotton cord, cotton, cotton rope, cotton yarn","Small: 45 x 30 cm, Medium: 50 x 40 cm",United Kingdom,"Low in stock, only 3 left",https://www.etsy.com/listing/266515154/kids-knitted-pouf-ottoman-grey-cotton,https://i.etsystatic.com/8134433/r/il/0bc1ad/2073323632/il_794xN.2073323632_gw81.jpg
etsy,True,200,"Floral Boho Floor Pillow: Square or Round Meditation Cushion, Floor Seating",hangtightstudio88,110,USD,,,5,4,,577,Polyester,"23"" Round: 23"" x 7"" Tall; 26"" Round: 26"" x 7"" Tall; 23"" Square: 23"" x 23"" x 7"" Tall; 26"" Square: 26"" x 26"" x 7"" Tall","Englewood, CO",In stock,https://www.etsy.com/listing/720976290/floral-boho-floor-pillow-square-or-round,https://i.etsystatic.com/5570847/r/il/2c4d96/7361950880/il_794xN.7361950880_8te3.jpg
etsy,True,200,"Handmade Ceramic Vase: White Textured Pottery, Boho Home Decor",LauraLynnPottery,150,USD,,,5,7,,368,"Stoneware clay, Non toxic glaze","Width: 6 inches, Height: 8 inches","Brainerd, MN",In stock,https://www.etsy.com/listing/681286832/handmade-ceramic-vase-white-textured,https://i.etsystatic.com/16014158/r/il/65af32/1830754832/il_794xN.1830754832_tte2.jpg
etsy,True,200,"Contemporary ceramic vase, large white speckled vase, coiled vase, handmade ceramics",IslaClayCeramics,183.34,USD,,,5,165,True,68,"glazes, speckled stoneware clay, engobe, ceramics","Height: 28 cm, Width: 20 cm, Depth: 8 cm",Slovenia,"Low in stock, only 1 left",https://www.etsy.com/listing/906529799/contemporary-ceramic-vase-large-white,https://i.etsystatic.com/17328444/r/il/41b86c/3052379489/il_794xN.3052379489_6pur.jpg
etsy,True,200,"Hand-Loomed Striped Cotton Pillow Cover, Colorful Modern Throw",AShopAboutLove,150,USD,,,5,1,,77,Cotton,19 x 19 inches,"Highland, NY","Low in stock, only 5 left",https://www.etsy.com/listing/566822148/color-therapy-pillowcolorful,https://i.etsystatic.com/16673936/r/il/5e4501/1429240379/il_794xN.1429240379_415g.jpg
