site,ok,status,title,brand_or_shop,price,currency,original_price,discount_percent,rating,review_count,is_bestseller,favorites,materials,dimensions,ships_from,availability,is_ad,free_shipping,source,url,image_url
etsy,,,Handmade Abstract Oil Painting: Reflection of Sun on Sea,,133.0,USD,190.0,30.0,,9,False,,,,,,True,True,wall-decor,https://www.etsy.com/listing/1879837085/handmade-abstract-oil-painting,https://i.etsystatic.com/57581503/c/2068/2068/468/166/il/f23fdf/7979124727/il_340x270.7979124727_hpet.jpg
etsy,,,Oversized Blue and Grey Seascape Canvas Wall Art Calming Abstract Painting for Custom Room Deep Blue and Grey Canvas Artwork,,97.2,USD,162.0,40.0,,144,False,,,,,,True,True,wall-decor,https://www.etsy.com/listing/4354034704/oversized-blue-and-grey-seascape-canvas,https://i.etsystatic.com/27014638/c/1904/1904/95/0/il/f5f798/7118317620/il_340x270.7118317620_fug0.jpg
etsy,,,Textured Sage Green Mountain Wall Art Landscape Oil Painting On Canvas Horizontal Modern Impasto Canvas Art Earth Tone Living Room Decor,,95.78,USD,147.35,35.0,,1676,True,,,,,,True,True,wall-decor,https://www.etsy.com/listing/4438913386/textured-sage-green-mountain-wall-art,https://i.etsystatic.com/26843029/c/965/965/192/19/il/9cd534/7635756471/il_340x270.7635756471_6sdv.jpg
etsy,,,Beige Abstract Geometric Painting Beige and Black Abstract Color Blocks Art Modern Minimalist Lines Canvas Painting Neutral Geometric Art,,105.0,USD,175.0,40.0,,74,True,,,,,,True,True,wall-decor,https://www.etsy.com/listing/1827525910/beige-abstract-geometric-painting-beige,https://i.etsystatic.com/24821962/c/567/567/81/49/il/951819/6507230768/il_340x270.6507230768_icac.jpg
etsy,,,Set of 3 Custom Album Posters \| Request Any Album \| Album Cover Posters \| Physical Poster \| Personalised Room Decor \| Album Art \| Aesthetic,,16.73,USD,23.9,30.0,,304,False,,,,,,False,True,wall-decor,https://www.etsy.com/listing/4354488920/set-of-3-custom-album-posters-request,https://i.etsystatic.com/59133354/c/3000/3000/0/0/il/572d59/8066278673/il_340x270.8066278673_kouj.jpg
etsy,,,"Sun Metal Wall Decor, Sun, Sun Art, Sun Decor, Sunrise, Sunrise Art, Beach Decor, Wall Art, Wall Decor, Room Decor, Home Decor, Home Gift",,59.49,USD,118.99,50.0,,1334,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/1687700554/sun-metal-wall-decor-sun-sun-art-sun,https://i.etsystatic.com/35248546/c/1823/1449/607/38/il/f5e2ee/5867750940/il_340x270.5867750940_riev.jpg
etsy,,,"Custom hand embroidered vintage Last Name Flag, Unique wall art Flag, Boho room Dorm decor, Handmade gift, wedding flag, established banner",,35.0,USD,70.0,50.0,,655,True,,,,,,False,False,wall-decor,https://www.etsy.com/listing/4430113261/custom-hand-embroidered-vintage-last,https://i.etsystatic.com/53104556/r/il/639c48/7537595306/il_340x270.7537595306_tdc2.jpg
etsy,,,"Vintage Hand-embroidered How lucky are we Banner , Custom embroidered Wall Decor, Vintage Wall Art ,Room Decor Pennant , Positive Quote",,35.0,USD,70.0,50.0,,1316,True,,,,,,False,False,wall-decor,https://www.etsy.com/listing/4485728551/vintage-hand-embroidered-how-lucky-are,https://i.etsystatic.com/55017813/r/il/b0ede9/7941783773/il_340x270.7941783773_42k1.jpg
etsy,,,"Custom Neon Sign, Neon Signs, LED Neon Sign Light, Wedding sign, Neon light Sign, Home Decor, Wall Decor, Personalized Sign, Custom Sign",,12.5,USD,50.0,75.0,,23703,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/1342197851/custom-neon-sign-neon-signs-led-neon,https://i.etsystatic.com/27519419/r/il/e4a1b3/6575174194/il_340x270.6575174194_pnda.jpg
etsy,,,"Bouclé Cloud Wall Light ,Nursery Night Lamp ,Kids Room Decor",,42.7,USD,61.0,30.0,,625,True,,,,,,False,False,wall-decor,https://www.etsy.com/listing/4378708485/boucle-cloud-wall-light-nursery-night,https://i.etsystatic.com/47474985/c/1666/1666/157/251/il/ecb2d7/7292414605/il_340x270.7292414605_e389.jpg
etsy,,,"Cloud Wall Light Set, Nursery Moon Stars Decor, Baby Room Night Light",,120.0,USD,160.0,25.0,,33,False,,,,,,False,False,wall-decor,https://www.etsy.com/listing/4472773584/cloud-wall-light-set-nursery-moon-stars,https://i.etsystatic.com/48550739/c/834/834/4/70/il/c50334/7810834304/il_340x270.7810834304_nfgr.jpg
etsy,,,Personalized Vinyl Record with Photo - Acrylic Song Plaque - Anniversary Gift for Friends - Birthday Gift for Her Him - Valentines Day Gifts,,9.99,USD,19.99,50.0,,581,True,,,,,,False,False,wall-decor,https://www.etsy.com/listing/1820011434/personalized-vinyl-record-with-photo,https://i.etsystatic.com/56205711/r/il/952a84/6468711664/il_340x270.6468711664_qgc3.jpg
etsy,,,Wooden Name Sign Baby Name Sign Nursery Name Sign Custom Name Sign Wooden Letters Wood Name Sign Wall Name Sign Baby Name Cutout,,5.85,USD,19.5,70.0,,22727,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/973267722/wooden-name-sign-baby-name-sign-nursery,https://i.etsystatic.com/23824347/r/il/49881b/8120189906/il_340x270.8120189906_d5tc.jpg
etsy,,,"Personalized 4x18 Inch Street Sign, Stamped Aluminum Novelty Decor, All Colors",,17.75,USD,,,,967,False,,,,,,False,True,wall-decor,https://www.etsy.com/listing/4308869358/personalized-4x18-inch-street-sign,https://i.etsystatic.com/51926234/r/il/b90734/6884990264/il_340x270.6884990264_3gvz.jpg
etsy,,,"3d World Map, Cork World Map Wall Art, Wooden World Map Push Pin, Personalized Travel Map, Above Bed Decor, Pin Board Apartment Decor",,155.25,USD,207.0,25.0,,7484,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/1047099510/3d-world-map-cork-world-map-wall-art,https://i.etsystatic.com/23216572/c/1046/830/236/572/il/65d0d1/4978863897/il_340x270.4978863897_26za.jpg
etsy,,,"Custom Wood Nursery Name Sign, Custom Nursery Sign, Wooden Name Sign, Wood Sign, Wood Decor, Nursery Decor, Wooden Baby Names, Nursery Art",,13.47,USD,24.49,45.0,,5883,True,,,,,,False,False,wall-decor,https://www.etsy.com/listing/1773545674/custom-wood-nursery-name-sign-custom,https://i.etsystatic.com/27146719/c/1969/1969/70/48/il/bb0e59/7799935563/il_340x270.7799935563_hb0y.jpg
etsy,,,"Autumn Forest Canvas Wall Art, Golden Fall Trees River Landscape Painting, Rustic Nature Decor for Living Room, Cabin or Office",,24.48,USD,32.64,25.0,,3033,True,,,,,,True,True,wall-decor,https://www.etsy.com/listing/4354034010/autumn-forest-canvas-wall-art-golden,https://i.etsystatic.com/40160056/r/il/dab4a7/7118314062/il_340x270.7118314062_egpk.jpg
etsy,,,"Misty Lake Sunset Oil Painting, Sailboats on Foggy River, Mountain View Landscape Art, Vintage Impressionist Wall Art For Living Room",,96.0,USD,160.0,40.0,,19,True,,,,,,True,True,wall-decor,https://www.etsy.com/listing/4491024725/misty-lake-sunset-oil-painting-sailboats,https://i.etsystatic.com/65443375/c/706/706/148/25/il/2c807f/7928249366/il_340x270.7928249366_3ub1.jpg
etsy,,,Original Lotus Pond Painting: Abstract Floral Texture Art,,129.98,USD,236.33,45.0,,13,False,,,,,,True,True,wall-decor,https://www.etsy.com/listing/1890179572/original-lotus-pond-painting-abstract,https://i.etsystatic.com/58686708/c/1683/1683/285/338/il/91e7f1/6845800699/il_340x270.6845800699_ikwr.jpg
etsy,,,Beige and Black Abstract Painting Large Brown Abstract Painting Beige Minimalist Wall Art Black Wabi-sabi Style Decorative Painting,,105.0,USD,210.0,50.0,,261,True,,,,,,True,True,wall-decor,https://www.etsy.com/listing/1890174046/beige-and-black-abstract-painting-large,https://i.etsystatic.com/24618956/c/1904/1904/83/38/il/5e64ef/6797772510/il_340x270.6797772510_i6dg.jpg
etsy,,,Black Cat Smoking a Cigarette Vintage Poster Art Retro Whimsical Print Funny Animal Wall Decor Poster for Bar Cart Quirky Kitchen Wall Art,,18.52,USD,24.7,25.0,,2170,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/4329257228/black-cat-smoking-a-cigarette-vintage,https://i.etsystatic.com/31987277/c/1714/1714/660/223/il/284f2e/7166017013/il_340x270.7166017013_jeg9.jpg
etsy,,,"Wedding Neon Sign, Custom Neon sign, Personalized Neon, Gifts for Him/Her, Engagement Sign, Wedding Backdrop, Reception Decor, Party Sign",,12.5,USD,50.0,75.0,,23703,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/1904379485/wedding-neon-sign-custom-neon-sign,https://i.etsystatic.com/27519419/r/il/2c87b0/6857117149/il_340x270.6857117149_qckq.jpg
etsy,,,"Personalized Acrylic Name Block (D3) - w/ Optional Wood Base, Minimal Executive Desk CEO Sign New Job Office Decor Promotion Graduation Gift",,45.99,USD,,,,22388,False,,,,,,False,False,wall-decor,https://www.etsy.com/listing/1682957474/personalized-acrylic-name-block-d3-w,https://i.etsystatic.com/14945926/r/il/d05e01/7812081993/il_340x270.7812081993_4xtr.jpg
etsy,,,"Any Lake customized wood Map Gift personalized gift, Lake house decor, 3D Custom Lake art, lake gift, wood lake map, Any location",,89.6,USD,112.0,20.0,,4294,False,,,,,,False,True,wall-decor,https://www.etsy.com/listing/1282597347/any-lake-customized-wood-map-gift,https://i.etsystatic.com/16019719/r/il/d36c00/7437742850/il_340x270.7437742850_dubk.jpg
etsy,,,"Add-On Framing for Portraits, Print and Frame Upgrade, Handmade Walnut Frame",,29.5,USD,59.0,50.0,,9937,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/1778954804/add-on-framing-for-portraits-handmade,https://i.etsystatic.com/32948796/r/il/cbbf5e/6881040219/il_340x270.6881040219_dd8b.jpg
etsy,,,"Custom Made License Plate Letter Signs - Spell Out Your Words with Personalized Decor for Home, Office, or Unique Gifts - Vintage Wall Art",,29.99,USD,,,,8486,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/1790286890/custom-made-license-plate-letter-signs,https://i.etsystatic.com/16886957/r/il/3422e0/7658465428/il_340x270.7658465428_dw8u.jpg
etsy,,,Personalized Baby Name \| Canvas Flag \| Nursery Name Sign \| Custom Name Banner \| Nursery Wall Decor \| Mason Parker,,31.2,USD,39.0,20.0,,39931,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/1434961535/personalized-baby-name-canvas-flag,https://i.etsystatic.com/12256552/c/1324/1051/604/361/il/f4676a/5780293146/il_340x270.5780293146_c8k9.jpg
etsy,,,"Four-Leaf Clover Arched Frame 2x4 Inch, Botanical Art, Wall Decor, Good Luck Charm",,19.99,USD,26.65,25.0,,235,True,,,,,,False,False,wall-decor,https://www.etsy.com/listing/4541934673/four-leaf-clover-arched-frame-2x4-inch,https://i.etsystatic.com/62683538/r/il/7b35a2/8282867466/il_340x270.8282867466_q74l.jpg
etsy,,,"Film Roll Acrylic Photo Block, Personalized Friend Keepsake, Friendship Memory Gift",,15.75,USD,45.0,65.0,,98,True,,,,,,False,False,wall-decor,https://www.etsy.com/listing/4472037242/film-roll-acrylic-photo-block,https://i.etsystatic.com/57470744/c/906/906/56/58/il/d6320c/7815155324/il_340x270.7815155324_pfgv.jpg
etsy,,,Custom Wood Sign \| Personalized Family Name Sign \| Last Name Sign \| Wedding Gift \| Home Wall Decor \| Anniversary Gift \| Custom Wood Signs,,39.0,USD,130.0,70.0,,18329,True,,,,,,False,True,wall-decor,https://www.etsy.com/listing/963147161/custom-wood-sign-personalized-family,https://i.etsystatic.com/20641892/r/il/d5aa47/3742912928/il_340x270.3742912928_mq3y.jpg
etsy,,,Custom House Name Ceramic Plaque Personalized House sign Handpainted Home Portrait Farmhouse Plaque Memorial Outdoor House Name Plaque gift,,49.64,USD,73.0,32.0,,801,False,,,,,,False,True,wall-decor,https://www.etsy.com/listing/4310537785/custom-house-name-ceramic-plaque,https://i.etsystatic.com/52061210/r/il/06e450/6935896103/il_340x270.6935896103_h97m.jpg
etsy,,,Personalized Vinyl Record with Photo - Acrylic Song Plaque - Anniversary Gift for Friends - Birthday Gift for Her Him - Christmas Gifts,,10.15,USD,20.3,50.0,,6325,False,,,,,,False,True,wall-decor,https://www.etsy.com/listing/1623536505/personalized-vinyl-record-with-photo,https://i.etsystatic.com/32449061/r/il/a3c653/7356868301/il_340x270.7356868301_36it.jpg
etsy,,,"Laser Cut Logo Sign, Beauty Salon Sign, 3D Business Sign, Business Signboard, Custom Laser Cut, Logo With Raised 3D Design, Dentist Sign",,27.0,USD,30.0,10.0,,3167,True,,,,,,True,True,wall-decor,https://www.etsy.com/listing/692885180/laser-cut-logo-sign-beauty-salon-sign-3d,https://i.etsystatic.com/19179456/r/il/d2db11/2869221872/il_340x270.2869221872_u1th.jpg
etsy,,,"Large 3D Textured Flower Oil Painting On Canvas, Abstract Floral Wall Art, Original Blooming Blossom Canvas Art, Boho Living Room Home Decor",,85.42,USD,131.41,35.0,,205,True,,,,,,True,True,wall-decor,https://www.etsy.com/listing/1904358335/large-3d-textured-flower-oil-painting-on,https://i.etsystatic.com/47571052/c/1834/1834/82/82/il/91e442/6871264489/il_340x270.6871264489_tfhj.jpg
etsy,,,"Vibrant Abstract Landscape Oil Painting, Original Blue Sky White Clouds Wall Art, Modern Natural Scenery Painting, Living Room Home Decor",,71.58,USD,119.3,40.0,,614,True,,,,,,True,True,wall-decor,https://www.etsy.com/listing/4343686127/vibrant-abstract-landscape-oil-painting,https://i.etsystatic.com/32811653/c/1481/1481/213/106/il/18dd0e/7583225344/il_340x270.7583225344_15s6.jpg
etsy,,,"Hand-Carved Terracotta Plaster Relief Art, Gold Frame Earth Tone Decor",,427.16,USD,610.23,30.0,,,False,,,,,,True,True,wall-decor,https://www.etsy.com/listing/4559876122/hand-carved-terracotta-plaster-relief,https://i.etsystatic.com/67329702/r/il/b0b24f/8411488422/il_340x270.8411488422_evop.jpg
