date,keyword,total_listings,avg_price,median_price,total_daily_sales,total_daily_revenue,avg_rating,total_reviews,bestseller_count,ad_count,new_items_count,search_volume_index
2026-07-23,baby christmas gifts,289,19.363840830449824,15.95,11529.2,205597.77,4.703181818181818,1009961.0,88,49,0,60.2
2026-07-23,bulk christmas gifts,284,13.527394366197182,8.98,8645.1,113341.88,4.587313432835821,23020.0,47,45,0,60.8
2026-07-23,christmas,78,62.116666666666674,20.485,413.7,14013.35,4.683333333333334,195275.0,5,16,0,61.0
2026-07-23,christmas 2026,286,15.163601398601399,9.99,1196.4,18633.9,4.605309734513274,220869.0,16,30,0,58.4
2026-07-23,christmas cactus,283,24.43441696113074,19.99,1871.5,40873.1,4.278991596638655,636215.0,20,50,0,61.6
2026-07-23,christmas decor,261,47.32969348659004,19.97,2304.9,72987.68,4.5840764331210195,359054.0,20,36,0,61.2
2026-07-23,christmas decorations,117,67.97641025641026,24.99,3545.8999999999996,76099.64,4.54,231203.0,9,20,0,70.5
2026-07-23,christmas decorations 2026,239,18.205840336134454,11.99,1078.5,11935.8,4.5473684210526315,128366.0,14,31,0,62.3
2026-07-23,christmas decorations amazon,240,22.52154811715481,16.82,1388.3,22880.68,4.5112499999999995,139971.0,12,29,0,58.1
2026-07-23,christmas decorations clearance,176,19.66403409090909,10.57,2094.8,46231.520000000004,4.477611940298507,265697.0,23,28,0,66.5
2026-07-23,christmas decorations disneyland,294,37.37720279720279,17.99,837.7,34733.04,4.5323308270676685,67658.0,8,46,0,62.1
2026-07-23,christmas decorations ideas,136,29.922089552238806,14.690000000000001,1757.8,29425.39,4.484210526315789,62646.0,10,24,0,61.2
2026-07-23,christmas decorations indoor,136,35.09389705882353,18.645,1015.1,25820.7,4.495238095238095,160785.0,9,22,0,60.9
2026-07-23,christmas decorations near me,169,39.70918699186991,18.0,701.3,19521.27,4.506363636363636,127500.0,8,9,0,58.6
2026-07-23,christmas decorations nyc,296,19.437610921501708,15.0,866.8,20597.29,4.646099290780142,127855.0,12,33,0,61.1
2026-07-23,christmas decorations on sale,89,21.05962962962963,14.99,439.5,5580.7,4.504444444444444,67833.0,3,15,0,47.6
2026-07-23,christmas decorations outdoor,207,90.4908695652174,44.99,1555.7,132614.55,4.5552,272551.0,19,28,0,55.2
2026-07-23,christmas gift card book,248,16.768906882591093,12.99,952.0,16545.09,4.4445544554455445,96159.0,8,45,0,58.4
2026-07-23,christmas gifts,96,29.469516129032257,20.79,1141.0,20554.74,4.630909090909091,8570.0,2,5,0,65.5
2026-07-23,christmas gifts 2026,151,20.446875,12.99,591.1,2999.09,4.560824742268041,17837.0,2,17,0,48.8
2026-07-23,christmas gifts for coworkers,222,14.964279279279278,11.99,1662.7,27785.46,4.593,14707.0,16,31,0,62.6
2026-07-23,christmas gifts for girls,280,30.90725,19.994999999999997,8726.7,196130.98,4.629207920792079,384575.0,66,38,0,58.5
2026-07-23,christmas gifts for kids,195,37.28855670103093,19.99,9274.699999999999,160376.71,4.503370786516854,12691.0,35,29,0,58.1
2026-07-23,christmas gifts for men,276,32.9728,22.99,9990.5,210751.57,4.661194029850746,625552.0,71,43,0,62.1
2026-07-23,christmas gifts for mom,243,26.264279835390948,21.95,3382.4,82303.68000000001,4.744198895027624,600153.0,43,40,0,61.3
2026-07-23,christmas gifts for teen girls,229,19.488533333333333,15.0,7623.2,128469.06,4.648484848484848,597891.0,42,39,0,63.9
2026-07-23,christmas gifts for teens,134,17.76172932330827,13.99,3566.1,57491.86,4.587777777777777,89405.0,23,25,0,56.4
2026-07-23,christmas gifts for women,176,45.671079545454546,19.99,3702.8,92057.01,4.699107142857143,310015.0,37,16,0,62.1
2026-07-23,christmas gifts ideas,103,27.613883495145632,22.99,1642.1,41815.36,4.556410256410256,2967.0,14,13,0,61.4
2026-07-23,christmas in july,246,16.434816753926704,13.99,731.6999999999999,10076.02,4.5618181818181816,123270.0,5,46,0,58.3
2026-07-23,christmas island,196,44.269999999999996,15.105,996.4,24887.04,4.705,177256.0,20,33,0,62.4
2026-07-23,christmas lights,265,36.874,19.0,1439.0,48148.14,4.5640625,122563.0,17,44,0,58.3
2026-07-23,christmas movies,168,16.692091503267974,13.99,987.3,16296.05,4.762365591397849,229671.0,12,28,0,63.1
2026-07-23,christmas ornament,175,20.452261904761905,14.105,971.9,15702.29,4.681081081081081,389869.0,9,19,0,55.7
2026-07-23,christmas ornament crafts,268,17.9256015037594,12.99,486.7,7349.28,4.531034482758621,22275.0,0,39,0,59.0
2026-07-23,christmas ornament storage,144,27.56822695035461,17.89,1460.0,49900.95,4.529090909090909,9352.0,7,17,0,69.1
2026-07-23,christmas ornament storage box,276,45.35790441176471,30.015,2131.0,91302.12,4.623195876288659,352250.0,23,47,0,56.0
2026-07-23,christmas ornaments,74,17.53876712328767,12.59,150.4,2691.41,4.610256410256411,6762.0,0,7,0,62.1
2026-07-23,christmas ornaments 2026,143,17.587272727272726,11.05,781.8,10634.83,4.657692307692308,143558.0,9,13,0,59.3
2026-07-23,christmas ornaments clearance,170,10.4398224852071,7.7,435.2,4871.77,4.280232558139535,25776.0,4,17,0,63.0
2026-07-23,christmas ornaments near me,175,15.327109826589597,13.09,1197.0,17880.95,4.6646616541353385,208625.0,16,23,0,62.9
2026-07-23,christmas ornaments nyc,178,18.60887640449438,15.285,779.2,15786.68,4.698,184522.0,8,23,0,57.5
2026-07-23,christmas ornaments personalized,127,11.002357723577235,9.99,490.3,6401.76,4.534782608695652,100622.0,4,11,0,58.6
2026-07-23,christmas ornaments sale,123,21.51487804878049,9.99,379.6,5922.37,4.441666666666666,91580.0,5,22,0,55.9
2026-07-23,christmas ornaments set,192,41.979375,29.865000000000002,696.0,36509.75,4.63302752293578,67720.0,7,34,0,58.3
2026-07-23,christmas ornaments to make,122,18.439814814814813,13.99,447.3,6555.87,4.583582089552239,147287.0,3,24,0,55.3
2026-07-23,christmas pajamas,278,20.785,17.93,1785.7,38055.1,4.5848167539267015,422224.0,27,35,0,63.1
2026-07-23,christmas story,184,27.990609756097562,16.99,1062.7,35926.53,4.7910112359550565,269664.0,12,38,0,55.3
2026-07-23,christmas tree,248,227.86608163265308,107.99,485.7,127099.92,4.385950413223141,62787.0,1,33,0,53.7
2026-07-23,christmas vacation,130,36.19722222222222,12.969999999999999,378.4,6813.47,4.659574468085107,48552.0,4,13,0,60.6
2026-07-23,christmas vacation cast,187,40.4146408839779,18.74,1629.8,41912.19,4.817557251908397,386282.0,21,29,0,58.1
2026-07-23,christmas wrapping paper,291,16.491202749140893,14.99,3589.9,46619.13,4.707296137339055,699745.0,33,47,0,52.9
2026-07-23,clear christmas ornaments balls,263,23.913969465648854,18.560000000000002,1741.5,44202.840000000004,4.621608040201005,329711.0,28,37,0,59.4
2026-07-23,diamond art christmas ornaments,265,18.137622641509434,14.99,651.4,17465.59,4.545263157894737,188132.0,6,38,0,58.1
2026-07-23,grinch christmas decorations,251,53.193850000000005,22.145,1153.3,61705.57,4.611515151515151,291235.0,16,45,0,60.2
2026-07-23,nightmare before christmas,94,56.043297872340425,20.73,233.9,17035.120000000003,4.8047619047619055,20537.0,5,17,0,67.3
2026-07-23,nightmare before christmas gifts,290,31.29871527777778,19.244999999999997,845.2,23570.34,4.695804195804196,123658.0,4,45,0,54.9
2026-07-23,personalized christmas ornaments,35,12.019705882352941,9.99,97.7,1380.72,4.574074074074074,3735.0,0,0,0,63.4
2026-07-23,toddler christmas gifts,173,27.479432624113475,18.81,4362.3,56499.7,4.6530000000000005,180302.0,33,26,0,57.8
2026-07-23,vintage christmas ornaments,181,37.090614525139664,23.63,305.8,8146.53,4.477922077922078,11645.0,0,28,0,55.6
2026-07-24,baby christmas gifts,289,19.363840830449824,15.95,12519.8,221478.52,4.702272727272727,1010027.0,90,41,0,64.5
2026-07-24,bulk christmas gifts,284,13.527394366197184,8.98,9173.9,119172.94,4.588059701492537,23045.0,47,45,0,63.9
2026-07-24,christmas,78,62.116666666666674,20.485,463.8,15655.14,4.686111111111111,195288.0,5,13,0,67.2
2026-07-24,christmas 2026,286,15.163601398601399,9.99,1298.7,20568.99,4.605128205128205,221661.0,16,36,0,62.5
2026-07-24,christmas cactus,283,24.43441696113074,19.99,2025.7,43860.7,4.285833333333333,637744.0,20,50,0,65.9
2026-07-24,christmas decor,261,47.32969348659004,19.97,2531.2,79117.09,4.5855345911949685,359767.0,21,45,0,66.2
2026-07-24,christmas decorations,117,67.97641025641026,24.99,3585.2,79249.02,4.535,231224.0,9,14,0,71.2
2026-07-24,christmas decorations 2026,239,18.205840336134454,11.99,1175.9,13020.82,4.543478260869565,131444.0,14,38,0,67.0
2026-07-24,christmas decorations amazon,240,22.52154811715481,16.82,1575.5,25473.43,4.511515151515152,143494.0,12,33,0,64.5
2026-07-24,christmas decorations clearance,176,19.66403409090909,10.57,2288.3,50081.83,4.474074074074074,265736.0,23,35,0,71.7
2026-07-24,christmas decorations disneyland,294,37.37720279720279,17.99,892.7,36727.79,4.528888888888889,68198.0,10,36,0,65.6
2026-07-24,christmas decorations ideas,136,29.922089552238806,14.690000000000001,1853.3,31236.09,4.485416666666667,62671.0,11,22,0,64.0
2026-07-24,christmas decorations indoor,136,35.09389705882353,18.645,1137.0,28499.13,4.498412698412698,160793.0,10,15,0,67.0
2026-07-24,christmas decorations near me,169,39.70918699186992,18.0,772.4,22031.03,4.507207207207207,128486.0,8,10,0,63.6
2026-07-24,christmas decorations nyc,296,19.437610921501708,15.0,943.0,22076.54,4.640972222222222,127908.0,12,39,0,65.6
2026-07-24,christmas decorations on sale,89,21.05962962962963,14.99,499.7,6244.49,4.502127659574468,68601.0,3,20,0,52.8
2026-07-24,christmas decorations outdoor,207,90.4908695652174,44.99,1723.9,148279.81,4.566929133858268,273430.0,20,34,0,60.1
2026-07-24,christmas gift card book,248,16.768906882591093,12.99,1038.7,18189.43,4.453333333333333,97848.0,10,35,0,62.8
2026-07-24,christmas gifts,96,29.46951612903226,20.79,1219.3,21300.21,4.64,8573.0,2,9,0,69.3
2026-07-24,christmas gifts 2026,151,20.446875,12.99,670.4,3402.17,4.545,18225.0,2,16,0,54.0
2026-07-24,christmas gifts for coworkers,222,14.96427927927928,11.99,1793.1000000000001,30298.11,4.597087378640777,15251.0,18,32,0,66.7
2026-07-24,christmas gifts for girls,280,30.90725,19.994999999999997,9500.7,215479.3,4.625742574257425,384642.0,67,43,0,62.8
2026-07-24,christmas gifts for kids,195,37.28855670103093,19.99,9927.4,172701.57,4.503370786516854,12703.0,35,35,0,61.5
2026-07-24,christmas gifts for men,276,32.9728,22.99,10796.7,230045.81,4.663366336633663,625901.0,71,46,0,66.3
2026-07-24,christmas gifts for mom,243,26.264279835390948,21.95,3685.4,89163.64,4.745355191256831,601334.0,45,39,0,65.9
2026-07-24,christmas gifts for teen girls,229,19.488533333333333,15.0,8297.6,138821.52,4.652121212121212,597955.0,43,33,0,68.7
2026-07-24,christmas gifts for teens,134,17.76172932330827,13.99,3831.4,61752.86,4.594444444444444,89427.0,24,26,0,59.9
2026-07-24,christmas gifts for women,176,45.671079545454546,19.99,4158.5,102721.53,4.699115044247788,310262.0,39,25,0,68.5
2026-07-24,christmas gifts ideas,103,27.613883495145632,22.99,1766.1,44886.34,4.564102564102564,2971.0,14,23,0,65.3
2026-07-24,christmas in july,246,16.434816753926704,13.99,800.4,11035.14,4.566666666666666,123917.0,6,46,0,62.8
2026-07-24,christmas island,196,44.269999999999996,15.105,1072.5,26717.24,4.706024096385542,177449.0,19,33,0,66.4
2026-07-24,christmas lights,265,36.874,19.0,1612.2,50855.86,4.565116279069767,124074.0,22,50,0,64.1
2026-07-24,christmas movies,168,16.692091503267974,13.99,1068.0,17703.79,4.765263157894736,231171.0,14,30,0,67.4
2026-07-24,christmas ornament,175,20.452261904761905,14.105,1049.2,17006.3,4.682300884955753,390684.0,10,22,0,59.4
2026-07-24,christmas ornament crafts,268,17.9256015037594,12.99,534.3,8047.7,4.528099173553719,23047.0,2,40,0,63.8
2026-07-24,christmas ornament storage,144,27.56822695035461,17.89,1579.1,54450.159999999996,4.523214285714286,9418.0,8,21,0,73.9
2026-07-24,christmas ornament storage box,276,45.35790441176471,30.015,2273.7,97793.4,4.619796954314721,352676.0,24,49,0,59.0
2026-07-24,christmas ornaments,74,17.53876712328767,12.59,164.8,2994.17,4.607692307692307,6767.0,0,4,0,67.1
2026-07-24,christmas ornaments 2026,143,17.587272727272726,11.05,833.9,11256.69,4.66125,144169.0,9,11,0,62.6
2026-07-24,christmas ornaments clearance,170,10.4398224852071,7.7,460.90000000000003,5118.35,4.279310344827587,25804.0,4,16,0,66.1
2026-07-24,christmas ornaments near me,175,15.327109826589597,13.09,1292.8,19280.65,4.6589552238805965,208726.0,16,19,0,67.1
2026-07-24,christmas ornaments nyc,178,18.60887640449438,15.285,848.4,17079.66,4.702970297029703,184556.0,9,21,0,61.7
2026-07-24,christmas ornaments personalized,127,11.002357723577235,9.99,524.5,6748.070000000001,4.538947368421052,101618.0,4,10,0,62.0
2026-07-24,christmas ornaments sale,123,21.51487804878049,9.99,417.9,6560.66,4.422972972972973,91622.0,5,19,0,60.5
2026-07-24,christmas ornaments set,192,41.979375,29.865000000000002,753.9,38936.38,4.635135135135135,69150.0,7,30,0,62.3
2026-07-24,christmas ornaments to make,122,18.439814814814813,13.99,485.0,7153.2,4.584057971014493,147314.0,4,17,0,59.1
2026-07-24,christmas pajamas,278,20.785,17.93,1929.2,40310.06,4.5872448979591836,424544.0,27,30,0,67.4
2026-07-24,christmas story,184,27.990609756097562,16.99,1146.9,38019.04,4.786956521739131,270338.0,12,39,0,58.9
2026-07-24,christmas tree,248,227.86608163265308,107.99,528.0,136513.9,4.383606557377049,62834.0,1,30,0,57.5
2026-07-24,christmas vacation,130,36.19722222222222,12.969999999999999,404.3,7226.8,4.6625000000000005,48739.0,4,18,0,64.1
2026-07-24,christmas vacation cast,187,40.4146408839779,18.74,1786.2,46485.85,4.816417910447761,387689.0,22,37,0,62.7
2026-07-24,christmas wrapping paper,291,16.491202749140893,14.99,4037.1,52089.46,4.706751054852321,702156.0,36,51,0,58.3
2026-07-24,clear christmas ornaments balls,263,23.913969465648854,18.560000000000002,1910.9,48360.93,4.6182266009852215,329985.0,29,37,0,64.2
2026-07-24,diamond art christmas ornaments,265,18.137622641509434,14.99,707.7,20110.15,4.547916666666667,188155.0,6,34,0,62.3
2026-07-24,grinch christmas decorations,251,53.193850000000005,22.145,1250.2,66037.13,4.611242603550296,293648.0,17,46,0,64.4
2026-07-24,nightmare before christmas,94,56.043297872340425,20.73,248.4,18706.600000000002,4.7681818181818185,20558.0,5,22,0,70.9
2026-07-24,nightmare before christmas gifts,290,31.29871527777778,19.244999999999997,918.4,26047.53,4.698601398601398,123676.0,6,47,0,58.8
2026-07-24,personalized christmas ornaments,35,12.019705882352941,9.99,104.3,1480.77,4.5814814814814815,3739.0,0,2,0,67.0
2026-07-24,toddler christmas gifts,173,27.479432624113475,18.81,4806.9,63472.94,4.655882352941176,181334.0,34,27,0,62.6
2026-07-24,vintage christmas ornaments,181,37.090614525139664,23.63,336.0,9072.84,4.473076923076923,12150.0,0,25,0,60.1
2026-07-25,baby christmas gifts,289,19.363840830449824,15.95,14401.7,256035.44,4.700452488687783,1010345.0,92,39,0,72.7
2026-07-25,bulk christmas gifts,284,13.527394366197184,8.98,10693.3,140316.9,4.586666666666667,23822.0,48,37,0,72.8
2026-07-25,christmas,78,62.116666666666674,20.485,524.8,17912.9,4.6891891891891895,196697.0,5,13,0,74.7
2026-07-25,christmas 2026,286,15.163601398601399,9.99,1497.6,23764.15,4.600840336134453,221862.0,16,35,0,70.5
2026-07-25,christmas cactus,283,24.43441696113074,19.99,2295.7,48956.5,4.2867768595041325,637777.0,21,49,0,73.4
2026-07-25,christmas decor,261,47.32969348659004,19.97,2941.8,92336.19,4.585625,360085.0,23,41,0,75.3
2026-07-25,christmas decorations,117,67.97641025641026,24.99,4146.7,90512.57,4.536065573770491,231345.0,11,22,0,80.8
2026-07-25,christmas decorations 2026,239,18.205840336134454,11.99,1338.9,14839.02,4.548466257668712,133821.0,14,27,0,75.0
2026-07-25,christmas decorations amazon,240,22.52154811715481,16.82,1795.1,29450.93,4.508875739644971,144560.0,13,25,0,72.1
