site,id,keyword,page,title,price,original_price,discount_percent,rating,review_count,bought_past_month,is_new,shop,shop_age_years,is_ad,is_bestseller,free_shipping,url
amazon,B0B21ZM7LJ,baby christmas gifts,1,"Infinno Wrist Rattles and Foot Finder Socks Set, Baby Toys for 0-12 Months | Soft crinkle textures, encourages reaching and kicking, garden bug characters, newborn shower gift, boys and girls",9.99,12.98,,4.7,,20000,False,,,False,False,,https://www.amazon.com/dp/B0B21ZM7LJ
amazon,B0BDSN35RQ,baby christmas gifts,1,"Pearhead Wooden Christmas Tree Stacking Toy Set, Holiday Toys for Toddlers",14.99,59.99,,4.4,274,50,False,,,False,False,,https://www.amazon.com/dp/B0BDSN35RQ
amazon,B0CFVF8P2Q,baby christmas gifts,1,"Soft Baby Book with Touch and Feel Pages - Cute Sensory Toy for Babies | For Ages 0-6, 6-12 and 12-18 Months with Mirror and Crinkle Paper - Busy Book for Showers, Newborn or Infant Gift",9.99,15.99,,4.7,,4000,False,,,False,False,,https://www.amazon.com/dp/B0CFVF8P2Q
amazon,B0C7LFS66D,baby christmas gifts,1,"My First Christmas Soft, Crinkle Activity Book with Silicone Teether and Travel Strap, Santa, Green (5 1/2 inch Square)",9.99,,,4.8,216,,False,,,False,False,,https://www.amazon.com/dp/B0C7LFS66D
amazon,B07DM86Z43,baby christmas gifts,1,"Baby Einstein Sea Dreams Soother Musical Crib Toy and Sound Machine, Newborn and up",35.99,,,4.6,,10000,False,,,False,False,,https://www.amazon.com/dp/B07DM86Z43
amazon,B0CZCFWZ3H,baby christmas gifts,1,"Bright Starts Pop 'N Sit Portable Booster, Indoor/Outdoor Use, Floor Seat with Feeding Tray, Pink, 6 Mos - 3 Yrs",22.88,,,4.5,,4000,False,,,False,False,,https://www.amazon.com/dp/B0CZCFWZ3H
amazon,B0BTBV51KY,baby christmas gifts,1,"iPlay, iLearn Baby Press to Go Car Toys for Toddlers 1-3, 1 Yr Old Boy Gift | Infant Play Vehicle Set, Push Go Friction Car, Montessori Toy for 6-9-12-18 Months, 1st Birthday Gifts for 1-2 Years Old Girl",16.14,,,4.8,,10000,False,,,False,False,,https://www.amazon.com/dp/B0BTBV51KY
amazon,B09XHGG4B8,baby christmas gifts,1,"Yeeeasy Tummy Time Water Mat丨Inflatable Tummy Time Water Play Mat for Babies, Infants and Toddlers 3 to 24 Months Promote Development Toys Baby Toys essentials and Gifts",12.99,,,4.4,,,False,,,False,False,,https://www.amazon.com/dp/B09XHGG4B8
amazon,B09PDPYC2T,baby christmas gifts,1,"Hunfur Interactive Dancing Talking Cactus Toy, Repeat What You Say | Singing Recording with LED Lights, Sensory Development & Motor Skill Building, Birthday Gift for Boy Girl",19.99,,,,,6000,False,,,False,False,,https://www.amazon.com/dp/B09PDPYC2T
amazon,B0CJ5HJB37,baby christmas gifts,1,"Hooku 2 Pack Silicone Teething Toys for Babies 0-6 Months, Teethers for Babies 6-12 Months, Remote Teether for Baby, Sensory Toys for Babies, Baby Chew Toys KLW8808",9.99,,,4.7,,8000,False,,,False,False,,https://www.amazon.com/dp/B0CJ5HJB37
amazon,B0CT2Q5XXD,baby christmas gifts,1,"LiKee Strong Suction Cup Fidget Rotating Sensory Bath Toys for Baby Christmas Stocking Stuffers, Airplane Car Travel Table & Window Toys for Toddler Boys and Girls, 10+ Months",8.9,,,4.7,,5000,False,,,False,False,,https://www.amazon.com/dp/B0CT2Q5XXD
amazon,B0012V3OOU,baby christmas gifts,1,"Pearhead Babyprints Newborn Baby Handprint or Footprint Keepsake Ornament Kit, Perfect Holiday Keepsake or Gift (Holiday) | Baby Handprint or Footprint Clay Ornament Kit, Keepsake Impression, No-Bake, Gender-Neutral",10.99,,,4.1,,50,False,,,False,False,,https://www.amazon.com/dp/B0012V3OOU
amazon,B08GLLDSNQ,baby christmas gifts,1,"KeaBabies Baby Hand and Footprint Kit, Clay Keepsake Frame (Alpine White) | Quick Dry Handprint and Footprints, Newborn Nursery Picture Frame, Personalized New Mom Gifts for Baby First Christmas Shower",19.96,,,4.7,,3000,False,,,False,False,,https://www.amazon.com/dp/B08GLLDSNQ
amazon,B00X22CZAG,baby christmas gifts,1,Hudson Baby Unisex Baby Plush Animal Face Bathrobe,13.99,,,4.8,,,False,,,False,False,,https://www.amazon.com/dp/B00X22CZAG
amazon,B09SPF3R7W,baby christmas gifts,1,"hahaland Baby Books 0-6 Months,Infant Tummy Time Toy Sensory Toys | 6 to 12 Months Touch Feel Book Travel Toy Gifts for Boy Girl 0-3 Month Baby Shower Birthday Easter Basket Stuffers 1PCS",12.99,14.99,,4.8,,3000,False,,,False,False,,https://www.amazon.com/dp/B09SPF3R7W
amazon,B0FKF674ZG,baby christmas gifts,1,"Infantino My 1st Tumbler Silicone Sippy Cup, Christmas Tree, Straw Cup, 9oz | Sip, carry, repeat. Easy-to-hold silicone tumbler. Leak-resistant straw for little sippers on the go",6.02,,,4.6,637,50,False,,,False,False,,https://www.amazon.com/dp/B0FKF674ZG
amazon,B0DCP1ZRS3,baby christmas gifts,1,"URMYWO Tummy Time Mirror Toys, High Contrast Baby Toys for Newborn | Visual Stimulation Black and White Baby Toys, Sensory Crinkle Book Toy for Infant 0-3-6-12 Months, Boy Girl Shower Gifts",13.99,,,4.7,,6000,False,,,False,False,,https://www.amazon.com/dp/B0DCP1ZRS3
amazon,B09P9HNXTM,baby christmas gifts,1,"Fisher-Price Baby’s First BlocksToy Set, Navy Fawn | Stacking Toy, 10 Shapes & Storage Bucket, Sorting Play, Infants Ages 6+ Months (Amazon Exclusive)",11.87,,,4.8,,2000,False,,,False,False,,https://www.amazon.com/dp/B09P9HNXTM
amazon,B07MPCCDM7,baby christmas gifts,1,Baby Einstein 4-in-1 Kickin' Tunes Music and Language Play Gym and Piano Tummy Time Activity Mat,49.99,,,4.7,,9000,False,,,False,False,,https://www.amazon.com/dp/B07MPCCDM7
amazon,B0F3XF1SH8,baby christmas gifts,1,"Joyreal Wooden Noah's Ark Toy for 1 Year Old Baby Boy and Girl Baptism Gift | Neutral Color, Montessori Educational Toy, Animal Shape Sorter, Christian Toys for Toddler 1-3, Christmas Birthday Gift",32.99,,,4.7,430,3000,False,,,False,False,,https://www.amazon.com/dp/B0F3XF1SH8
amazon,B0CBQV2FBV,baby christmas gifts,1,"Fisher-Price Baby & Toddler Toy Laugh & Learn Coffee Mug Musical Activity with Lights & Educational Songs for Infants Ages 6+ Months | Pretend Cup, Educational Music & Lights, Busy Activities, Infants & Toddlers Ages 6+ Months",9.99,10.79,,4.8,,400,False,,,False,False,,https://www.amazon.com/dp/B0CBQV2FBV
amazon,B0D2VQV6N2,baby christmas gifts,1,"iPlay, iLearn 4PCS Baby Gym Rattle Toys, Newborn Shower Gifts 3-6-9 Months | Infant Sensory Teething Rattles, Babies Weight Set w/Dumbbell, Toddler Carseat Toy, First Birthday Gifts 4 5 7 8 10 12 Month",9.99,,,4.8,832,1000,False,,,False,False,,https://www.amazon.com/dp/B0D2VQV6N2
amazon,B07N1JP56L,baby christmas gifts,1,FISHER-PRICE BABY Toy Soothe 'n Snuggle Otter Portable Plush Sound Machine with Music Lights & Breathing Motion for Newborns 0+ Months,36.79,,,4.7,,5000,False,,,False,False,,https://www.amazon.com/dp/B07N1JP56L
amazon,B0DVVRSKCM,baby christmas gifts,1,"Kids Preferred Elf Soft Book - Peek-a-Boo Flap, Crinkle, BPA Free Teether Corner, On-The-Go Clip, Colorful Pages, Ages 0 Months and up, 5 in",7.99,,,4.8,5,,False,,,False,False,,https://www.amazon.com/dp/B0DVVRSKCM
amazon,B0DGLCPPF4,baby christmas gifts,1,"kecristv Montessori Toys for 1 2 Year Old Girl and Boy Birthday Gifts | Toddler Toys 1-2 2-3, Shape Sorter, Wooden Block, Learning Educational Sensory Stacking Toy, Toddler Puzzles, Birthday Gifts",9.99,,,4.6,,6000,False,,,False,False,,https://www.amazon.com/dp/B0DGLCPPF4
amazon,B0CSFBGQJP,baby christmas gifts,1,"hahaland Montessori Toys for 1 Year Old Boy Girl Birthday Gift-Fishing Game | 10 in 1 Cloth Fishing Toys Toddler Toys with Stacking Cups-Number Counting, Color Sorting Learning Gifts Christmas Birthday",21.98,36.99,,4.7,,6000,False,,,False,False,,https://www.amazon.com/dp/B0CSFBGQJP
